,idMunicipio,idMacroRegiao,idRegiaoSaude,municipio,lat,lon,macroRegiao,regiaoSaude,data,quantidade,tipo
0,230010,8,19,ABAIARA,-735542,-3904079,CARIRI,19ª REGIÃO BREJO SANTO,2020-04-02,1.0,Suspeito
1,230010,8,19,ABAIARA,-735542,-3904079,CARIRI,19ª REGIÃO BREJO SANTO,2020-04-07,1.0,Suspeito
2,230200,8,19,BARRO,-717277,-3877582,CARIRI,19ª REGIÃO BREJO SANTO,2020-03-19,1.0,Suspeito
3,230200,8,19,BARRO,-717277,-3877582,CARIRI,19ª REGIÃO BREJO SANTO,2020-03-27,2.0,Suspeito
4,230200,8,19,BARRO,-717277,-3877582,CARIRI,19ª REGIÃO BREJO SANTO,2020-04-02,1.0,Suspeito
5,230250,8,19,BREJO SANTO,-748943,-3898571,CARIRI,19ª REGIÃO BREJO SANTO,2020-03-20,1.0,Suspeito
6,230250,8,19,BREJO SANTO,-748943,-3898571,CARIRI,19ª REGIÃO BREJO SANTO,2020-03-22,4.0,Suspeito
7,230250,8,19,BREJO SANTO,-748943,-3898571,CARIRI,19ª REGIÃO BREJO SANTO,2020-03-24,1.0,Suspeito
8,230250,8,19,BREJO SANTO,-748943,-3898571,CARIRI,19ª REGIÃO BREJO SANTO,2020-03-25,1.0,Suspeito
9,230250,8,19,BREJO SANTO,-748943,-3898571,CARIRI,19ª REGIÃO BREJO SANTO,2020-03-30,3.0,Suspeito
10,230250,8,19,BREJO SANTO,-748943,-3898571,CARIRI,19ª REGIÃO BREJO SANTO,2020-03-31,1.0,Suspeito
11,230810,8,19,MAURITI,-738689,-3877141,CARIRI,19ª REGIÃO BREJO SANTO,2020-03-24,1.0,Confirmado
12,230810,8,19,MAURITI,-738689,-3877141,CARIRI,19ª REGIÃO BREJO SANTO,2020-03-27,2.0,Suspeito
13,230810,8,19,MAURITI,-738689,-3877141,CARIRI,19ª REGIÃO BREJO SANTO,2020-03-30,2.0,Suspeito
14,230810,8,19,MAURITI,-738689,-3877141,CARIRI,19ª REGIÃO BREJO SANTO,2020-04-04,1.0,Suspeito
15,230810,8,19,MAURITI,-738689,-3877141,CARIRI,19ª REGIÃO BREJO SANTO,2020-04-10,1.0,Suspeito
16,230830,8,19,MILAGRES,-730813,-3894079,CARIRI,19ª REGIÃO BREJO SANTO,2020-03-26,2.0,Suspeito
17,230830,8,19,MILAGRES,-730813,-3894079,CARIRI,19ª REGIÃO BREJO SANTO,2020-03-31,1.0,Suspeito
18,230830,8,19,MILAGRES,-730813,-3894079,CARIRI,19ª REGIÃO BREJO SANTO,2020-04-07,2.0,Suspeito
19,231060,8,19,PENAFORTE,-782412,-3907311,CARIRI,19ª REGIÃO BREJO SANTO,2020-03-25,1.0,Suspeito
20,231060,8,19,PENAFORTE,-782412,-3907311,CARIRI,19ª REGIÃO BREJO SANTO,2020-03-30,1.0,Suspeito
21,230030,8,18,ACOPIARA,-609062,-3945153,CARIRI,18ª REGIÃO IGUATU,2020-03-18,1.0,Suspeito
22,230030,8,18,ACOPIARA,-609062,-3945153,CARIRI,18ª REGIÃO IGUATU,2020-03-20,1.0,Suspeito
23,230030,8,18,ACOPIARA,-609062,-3945153,CARIRI,18ª REGIÃO IGUATU,2020-03-22,1.0,Suspeito
24,230030,8,18,ACOPIARA,-609062,-3945153,CARIRI,18ª REGIÃO IGUATU,2020-03-23,1.0,Suspeito
25,230030,8,18,ACOPIARA,-609062,-3945153,CARIRI,18ª REGIÃO IGUATU,2020-03-25,1.0,Suspeito
26,230030,8,18,ACOPIARA,-609062,-3945153,CARIRI,18ª REGIÃO IGUATU,2020-03-27,2.0,Suspeito
27,230030,8,18,ACOPIARA,-609062,-3945153,CARIRI,18ª REGIÃO IGUATU,2020-03-30,3.0,Suspeito
28,230030,8,18,ACOPIARA,-609062,-3945153,CARIRI,18ª REGIÃO IGUATU,2020-04-03,1.0,Suspeito
29,230030,8,18,ACOPIARA,-609062,-3945153,CARIRI,18ª REGIÃO IGUATU,2020-04-07,1.0,Suspeito
30,230330,8,18,CARIUS,-653571,-3949147,CARIRI,18ª REGIÃO IGUATU,2020-03-25,1.0,Suspeito
31,230330,8,18,CARIUS,-653571,-3949147,CARIRI,18ª REGIÃO IGUATU,2020-03-27,2.0,Suspeito
32,230330,8,18,CARIUS,-653571,-3949147,CARIRI,18ª REGIÃO IGUATU,2020-03-28,1.0,Suspeito
33,230330,8,18,CARIUS,-653571,-3949147,CARIRI,18ª REGIÃO IGUATU,2020-04-02,1.0,Confirmado
34,230330,8,18,CARIUS,-653571,-3949147,CARIRI,18ª REGIÃO IGUATU,2020-04-04,1.0,Óbito
35,230330,8,18,CARIUS,-653571,-3949147,CARIRI,18ª REGIÃO IGUATU,2020-04-05,1.0,Suspeito
36,230330,8,18,CARIUS,-653571,-3949147,CARIRI,18ª REGIÃO IGUATU,2020-04-06,1.0,Suspeito
37,230330,8,18,CARIUS,-653571,-3949147,CARIRI,18ª REGIÃO IGUATU,2020-04-07,1.0,Confirmado
38,230330,8,18,CARIUS,-653571,-3949147,CARIRI,18ª REGIÃO IGUATU,2020-04-08,1.0,Suspeito
39,230360,8,18,CATARINA,-612531,-3987328,CARIRI,18ª REGIÃO IGUATU,2020-03-22,1.0,Suspeito
40,230360,8,18,CATARINA,-612531,-3987328,CARIRI,18ª REGIÃO IGUATU,2020-03-24,1.0,Suspeito
41,230360,8,18,CATARINA,-612531,-3987328,CARIRI,18ª REGIÃO IGUATU,2020-04-05,1.0,Suspeito
42,230360,8,18,CATARINA,-612531,-3987328,CARIRI,18ª REGIÃO IGUATU,2020-04-06,1.0,Confirmado
43,230550,8,18,IGUATU,-635576,-3929265,CARIRI,18ª REGIÃO IGUATU,2020-03-19,1.0,Suspeito
44,230550,8,18,IGUATU,-635576,-3929265,CARIRI,18ª REGIÃO IGUATU,2020-03-21,1.0,Suspeito
45,230550,8,18,IGUATU,-635576,-3929265,CARIRI,18ª REGIÃO IGUATU,2020-03-23,2.0,Suspeito
46,230550,8,18,IGUATU,-635576,-3929265,CARIRI,18ª REGIÃO IGUATU,2020-03-24,5.0,Suspeito
47,230550,8,18,IGUATU,-635576,-3929265,CARIRI,18ª REGIÃO IGUATU,2020-03-26,4.0,Suspeito
48,230550,8,18,IGUATU,-635576,-3929265,CARIRI,18ª REGIÃO IGUATU,2020-03-29,3.0,Suspeito
49,230550,8,18,IGUATU,-635576,-3929265,CARIRI,18ª REGIÃO IGUATU,2020-03-30,1.0,Suspeito
50,230550,8,18,IGUATU,-635576,-3929265,CARIRI,18ª REGIÃO IGUATU,2020-03-31,1.0,Suspeito
51,230550,8,18,IGUATU,-635576,-3929265,CARIRI,18ª REGIÃO IGUATU,2020-04-03,1.0,Suspeito
52,230550,8,18,IGUATU,-635576,-3929265,CARIRI,18ª REGIÃO IGUATU,2020-04-03,1.0,Óbito
53,230550,8,18,IGUATU,-635576,-3929265,CARIRI,18ª REGIÃO IGUATU,2020-04-04,1.0,Suspeito
54,230550,8,18,IGUATU,-635576,-3929265,CARIRI,18ª REGIÃO IGUATU,2020-04-05,1.0,Suspeito
55,230550,8,18,IGUATU,-635576,-3929265,CARIRI,18ª REGIÃO IGUATU,2020-04-05,2.0,Confirmado
56,230550,8,18,IGUATU,-635576,-3929265,CARIRI,18ª REGIÃO IGUATU,2020-04-06,3.0,Suspeito
57,230550,8,18,IGUATU,-635576,-3929265,CARIRI,18ª REGIÃO IGUATU,2020-04-07,3.0,Suspeito
58,230550,8,18,IGUATU,-635576,-3929265,CARIRI,18ª REGIÃO IGUATU,2020-04-08,1.0,Suspeito
59,230550,8,18,IGUATU,-635576,-3929265,CARIRI,18ª REGIÃO IGUATU,2020-04-08,3.0,Confirmado
60,230550,8,18,IGUATU,-635576,-3929265,CARIRI,18ª REGIÃO IGUATU,2020-04-09,1.0,Óbito
61,230550,8,18,IGUATU,-635576,-3929265,CARIRI,18ª REGIÃO IGUATU,2020-04-10,5.0,Suspeito
62,230550,8,18,IGUATU,-635576,-3929265,CARIRI,18ª REGIÃO IGUATU,2020-04-10,1.0,Óbito
63,230550,8,18,IGUATU,-635576,-3929265,CARIRI,18ª REGIÃO IGUATU,2020-04-10,1.0,Confirmado
64,230550,8,18,IGUATU,-635576,-3929265,CARIRI,18ª REGIÃO IGUATU,2020-04-11,1.0,Confirmado
65,230740,8,18,JUCAS,-652192,-3952327,CARIRI,18ª REGIÃO IGUATU,2020-03-27,1.0,Suspeito
66,230740,8,18,JUCAS,-652192,-3952327,CARIRI,18ª REGIÃO IGUATU,2020-03-28,1.0,Suspeito
67,230740,8,18,JUCAS,-652192,-3952327,CARIRI,18ª REGIÃO IGUATU,2020-03-30,1.0,Suspeito
68,230740,8,18,JUCAS,-652192,-3952327,CARIRI,18ª REGIÃO IGUATU,2020-04-02,1.0,Suspeito
69,230740,8,18,JUCAS,-652192,-3952327,CARIRI,18ª REGIÃO IGUATU,2020-04-06,1.0,Suspeito
70,230850,8,18,MOMBACA,-573926,-3962328,CARIRI,18ª REGIÃO IGUATU,2020-03-20,1.0,Suspeito
71,230850,8,18,MOMBACA,-573926,-3962328,CARIRI,18ª REGIÃO IGUATU,2020-03-28,1.0,Suspeito
72,230850,8,18,MOMBACA,-573926,-3962328,CARIRI,18ª REGIÃO IGUATU,2020-03-29,1.0,Suspeito
73,230850,8,18,MOMBACA,-573926,-3962328,CARIRI,18ª REGIÃO IGUATU,2020-03-30,2.0,Suspeito
74,230850,8,18,MOMBACA,-573926,-3962328,CARIRI,18ª REGIÃO IGUATU,2020-04-08,1.0,Confirmado
75,230850,8,18,MOMBACA,-573926,-3962328,CARIRI,18ª REGIÃO IGUATU,2020-04-09,1.0,Suspeito
76,230850,8,18,MOMBACA,-573926,-3962328,CARIRI,18ª REGIÃO IGUATU,2020-04-10,1.0,Confirmado
77,231090,8,18,PIQUET CARNEIRO,-580220,-3941734,CARIRI,18ª REGIÃO IGUATU,2020-03-30,1.0,Suspeito
78,231090,8,18,PIQUET CARNEIRO,-580220,-3941734,CARIRI,18ª REGIÃO IGUATU,2020-04-08,1.0,Suspeito
79,231090,8,18,PIQUET CARNEIRO,-580220,-3941734,CARIRI,18ª REGIÃO IGUATU,2020-04-10,2.0,Suspeito
80,231135,8,18,QUIXELO,-625271,-3920119,CARIRI,18ª REGIÃO IGUATU,2020-03-24,1.0,Suspeito
81,231135,8,18,QUIXELO,-625271,-3920119,CARIRI,18ª REGIÃO IGUATU,2020-03-27,2.0,Suspeito
82,231135,8,18,QUIXELO,-625271,-3920119,CARIRI,18ª REGIÃO IGUATU,2020-03-31,1.0,Suspeito
83,231135,8,18,QUIXELO,-625271,-3920119,CARIRI,18ª REGIÃO IGUATU,2020-04-02,1.0,Suspeito
