,idMunicipio,idMacroRegiao,idRegiaoSaude,descricaoMunicipio,latitude,longitude,descricaoMacroRegiao,data,quantidade,tipo,log_quantidade
58,230320,8,21,CARIRIACU,-703876,-3928350,CARIRI,2020-03-25,1.0,Suspeito,0.0
59,230320,8,21,CARIRIACU,-703876,-3928350,CARIRI,2020-03-27,1.0,Suspeito,0.0
60,230320,8,21,CARIRIACU,-703876,-3928350,CARIRI,2020-03-29,1.0,Suspeito,0.0
61,230320,8,21,CARIRIACU,-703876,-3928350,CARIRI,2020-04-03,2.0,Suspeito,0.6931471805599453
62,230330,8,18,CARIUS,-653571,-3949147,CARIRI,2020-03-25,1.0,Suspeito,0.0
63,230330,8,18,CARIUS,-653571,-3949147,CARIRI,2020-03-27,2.0,Suspeito,0.6931471805599453
64,230330,8,18,CARIUS,-653571,-3949147,CARIRI,2020-03-28,1.0,Suspeito,0.0
65,230330,8,18,CARIUS,-653571,-3949147,CARIRI,2020-04-02,1.0,Confirmado,0.0
66,230330,8,18,CARIUS,-653571,-3949147,CARIRI,2020-04-04,1.0,Óbito,0.0
67,230330,8,18,CARIUS,-653571,-3949147,CARIRI,2020-04-05,1.0,Suspeito,0.0
68,230330,8,18,CARIUS,-653571,-3949147,CARIRI,2020-04-06,1.0,Suspeito,0.0
69,230330,8,18,CARIUS,-653571,-3949147,CARIRI,2020-04-07,1.0,Confirmado,0.0
70,230330,8,18,CARIUS,-653571,-3949147,CARIRI,2020-04-08,1.0,Suspeito,0.0
71,230360,8,18,CATARINA,-612531,-3987328,CARIRI,2020-03-22,1.0,Suspeito,0.0
72,230360,8,18,CATARINA,-612531,-3987328,CARIRI,2020-03-24,1.0,Suspeito,0.0
73,230360,8,18,CATARINA,-612531,-3987328,CARIRI,2020-04-05,1.0,Suspeito,0.0
74,230360,8,18,CATARINA,-612531,-3987328,CARIRI,2020-04-06,1.0,Confirmado,0.0
75,230380,8,17,CEDRO,-660407,-3905746,CARIRI,2020-03-23,2.0,Suspeito,0.6931471805599453
76,230380,8,17,CEDRO,-660407,-3905746,CARIRI,2020-03-24,1.0,Suspeito,0.0
77,230380,8,17,CEDRO,-660407,-3905746,CARIRI,2020-03-31,1.0,Suspeito,0.0
78,230380,8,17,CEDRO,-660407,-3905746,CARIRI,2020-04-07,1.0,Suspeito,0.0
79,230380,8,17,CEDRO,-660407,-3905746,CARIRI,2020-04-08,1.0,Suspeito,0.0
80,230380,8,17,CEDRO,-660407,-3905746,CARIRI,2020-04-09,1.0,Suspeito,0.0
81,230420,8,20,CRATO,-723384,-3940576,CARIRI,2020-03-09,2.0,Suspeito,0.6931471805599453
82,230420,8,20,CRATO,-723384,-3940576,CARIRI,2020-03-10,1.0,Suspeito,0.0
83,230420,8,20,CRATO,-723384,-3940576,CARIRI,2020-03-19,1.0,Suspeito,0.0
84,230420,8,20,CRATO,-723384,-3940576,CARIRI,2020-03-20,2.0,Suspeito,0.6931471805599453
85,230420,8,20,CRATO,-723384,-3940576,CARIRI,2020-03-21,1.0,Suspeito,0.0
86,230420,8,20,CRATO,-723384,-3940576,CARIRI,2020-03-23,4.0,Suspeito,1.3862943611198906
87,230420,8,20,CRATO,-723384,-3940576,CARIRI,2020-03-24,6.0,Suspeito,1.791759469228055
88,230420,8,20,CRATO,-723384,-3940576,CARIRI,2020-03-25,7.0,Suspeito,1.9459101490553132
89,230420,8,20,CRATO,-723384,-3940576,CARIRI,2020-03-26,2.0,Suspeito,0.6931471805599453
90,230420,8,20,CRATO,-723384,-3940576,CARIRI,2020-03-27,1.0,Suspeito,0.0
